filename,commit_count
robustio_flaky.go,8
processor_test.go,8
severity_rules.go,8
gofumpt_with_extra.go,8
junitxml_test.go,8
directives.go,8
ginkgolinter_suppress_len.go,8
teamcity.go,8
ginkgolinter_suppress_compare.go,8
inamedparam.go,8
spancheck.go,8
configuration.go,8
err113.go,8
usetesting.go,8
runner_checker.go,8
goimports_cgo.go,8
exclusion_rules.go,8
supported_linters.go,7
processor.go,7
bytes.go,7
stack.go,7
zerrors_linux_386.go,7
zerrors_linux_amd64.go,7
zerrors_linux_arm.go,7
zerrors_linux_arm64.go,7
zerrors_linux_mips.go,7
zerrors_linux_mips64.go,7
zerrors_linux_mips64le.go,7
zerrors_linux_mipsle.go,7
zerrors_linux_ppc64.go,7
zerrors_linux_ppc64le.go,7
zerrors_linux_s390x.go,7
zerrors_linux_sparc64.go,7
ztypes_linux_386.go,7
ztypes_linux_amd64.go,7
ztypes_linux_arm.go,7
ztypes_linux_arm64.go,7
ztypes_linux_mips.go,7
ztypes_linux_mips64.go,7
ztypes_linux_mips64le.go,7
ztypes_linux_mipsle.go,7
ztypes_linux_ppc64.go,7
ztypes_linux_ppc64le.go,7
ztypes_linux_s390x.go,7
security_windows.go,7
syscall_windows.go,7
gen.go,7
lostcancel.go,7
mkindex.go,7
callgraph.go,7
stdlib.go,7
functions.go,7
loops.go,7
pure.go,7
terminates.go,7
rules.go,7
visitor.go,7
helpers.go,7
subproc.go,7
file.go,7
flags.go,7
exitcodes.go,7
url.go,7
path_shortener.go,7
dupArg_checker.go,7
checker.go,7
staticcheck_in_megacheck.go,7
identifier_marker_test.go,7
robustio.go,7
robustio_windows.go,7
invoke.go,7
tparallel.go,7
config_test.go,7
forbidigo_example.go,7
depguard_ignore_file_rules.go,7
checkstyle_test.go,7
json_test.go,7
nonamedreturns_custom.go,7
nosnakecase.go,7
gocheckcompilerdirectives.go,7
teamcity_test.go,7
ginkgolinter_havelen0.go,7
custom_linters.go,7
validator_test.go,7
custom.go,7
canonicalheader.go,7
sarif.go,7
sarif_test.go,7
gofumpt_cgo.go,7
nolint_filter.go,7
nolint_filter_test.go,7
formatters_settings.go,7
path_resolver.go,6
test.go,6
swbemservices.go,6
wmi.go,6
com.go,6
com_func.go,6
idispatch_windows.go,6
safearray_func.go,6
safearray_windows.go,6
safearrayconversion.go,6
variant.go,6
duration.go,6
extensions.go,6
lib.go,6
message_set.go,6
text_parser.go,6
callset.go,6
controller.go,6
cpu_linux.go,6
cpu_windows.go,6
host.go,6
types_linux.go,6
common_windows.go,6
mem.go,6
mem_freebsd.go,6
mem_linux.go,6
net_linux.go,6
net_windows.go,6
process_fallback.go,6
process_openbsd.go,6
process_posix.go,6
flag.go,6
go17.go,6
pre_go17.go,6
pre_go19.go,6
sockcmsg_unix.go,6
syscall_darwin.go,6
syscall_dragonfly.go,6
syscall_freebsd.go,6
syscall_netbsd.go,6
syscall_openbsd.go,6
syscall_solaris.go,6
zsyscall_darwin_386.go,6
zsyscall_darwin_amd64.go,6
zsyscall_darwin_arm.go,6
zsyscall_darwin_arm64.go,6
zsyscall_freebsd_386.go,6
zsyscall_freebsd_amd64.go,6
zsyscall_freebsd_arm.go,6
zsyscall_linux_386.go,6
zsyscall_linux_amd64.go,6
zsyscall_linux_arm.go,6
zsyscall_linux_arm64.go,6
zsyscall_linux_mips.go,6
zsyscall_linux_mips64.go,6
zsyscall_linux_mips64le.go,6
zsyscall_linux_mipsle.go,6
zsyscall_linux_ppc64.go,6
zsyscall_linux_ppc64le.go,6
zsyscall_linux_s390x.go,6
zsyscall_linux_sparc64.go,6
zsyscall_netbsd_386.go,6
zsyscall_netbsd_amd64.go,6
